location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
Denmark,5098,12,"['dkpol', 'dkgreen']",2021-08-19 08:12:27,hverken landmandens økonomi  danmarks klimaregnskab eller dyrevelfærden hænger sammen  så skulle vi ikke skynde os at plukke denne lavthængende frugt og omgående stoppe al produktion af smågrise til eksport        ,-1.0
Arzrounis Grænse,893,6,['dkpol'],2021-08-19 08:12:04,lidt om den seneste uge    ,0.0
Denmark,5098,7,"['dkpol', 'dkgreen']",2021-08-19 08:11:51,    mio pattegrise døde i den danske svineindustri i       inden de blev en måned gamle  det er måske det allermest håndgribelige symbol på en syg industri  hvad er dit svar      ,-5.0
Danmark,16120,6,['dkpol'],2021-08-19 08:11:41,lidt om den seneste uge    ,0.0
Danmark,31319,4,"['dkmedier', 'dkpol', 'metoo']",2021-08-19 08:11:32,i en intern mail til medlemmer af  lyver  om anklagerne mod naser khader  i januar blev pape kontaktet af hayat faizi  han svarede ikke  nu påstår han at han kun havde hørt rygter  har nogen fra  spurgt til det    ,3.0
"Kalundborg, Denmark",58346,0,['dkpol'],2021-08-19 08:11:26,god vind fremover til   og held og lykke med at komme ovenpå ift beruselse  tak for indsatsen i   det har været en fornøjelse at følge dine spørgsmål og taler undervejs   ,14.0
Danmark,4885,2,[],2021-08-19 08:11:20,    fint indlæg med mange gode pointer  betryggende  at   medlemmer satser på udviklingen af fremtidens forsyning af transportsektoren  det er nemlig vigtigt for vognmændene  at forsyning er præget af sunde markedsforhold og konkurrence  det gælder også for el og brint,4.0
Danmark,893,0,"['dkmedier', 'dkpol']",2021-08-19 08:11:10,hvad sker der med dr og tv   de to store public servicehuse nægter at underskrive en appel til udenrigsminister jeppe kofod om at hjælpe afghanske mediefolk  som har hjulpet med dækning af krisen i afghanistan    ,1.0
Danmark,31319,1,['dkpol'],2021-08-19 08:10:58,og således blev en skamstøtte rejst   ,0.0
Danmark,31319,1,['dkpol'],2021-08-19 08:10:15,sjovt fordi det er rigtigt   ,3.0
"Frederiksberg, Hovedstaden",102116,4,"['dkgreen', 'dkpol']",2021-08-19 08:09:56,hvis nogen står og mangler opskriften på klimakrisen  så er den her    ,-2.0
"København, Danmark",6598,1,"['LGBTI', 'dkpol', 'WorldPride']",2021-08-19 08:09:01,alt for mange personer udsættes for hadforbrydelser – på baggrund af seksuel orientering eller kønsidentitet  dsu lancerer stop hadforbrydelserudspil          ,0.0
"Aarhus, Denmark",10385,0,['dkpol'],2021-08-19 08:08:40,det er sgu egentligt imponerende  at vi overlevede   ’erne med alle de bare maver i nik &amp; jays storhedstid ,5.0
,148737,3,['dkpol'],2021-08-19 08:08:39,skal eu spille en større rolle og udfylde magttomrummet efter usa  som ellers udfyldes af kina og rusland  eller skal vi lade verdens undertrykte sejle deres egen sø med dertil følgende ustabilitet og flytningestrømme  ,-2.0
Danmark,31319,2,"['MeToo', 'dkpol']",2021-08-19 08:08:34,tak  perfekt håndtering af  i   ,5.0
"Esbjerg, Danmark",4994,1,['dkpol'],2021-08-19 08:08:30,det her er tankevækkende  hvem trak i trådene     ,1.0
,148737,6,['dkpol'],2021-08-19 08:08:29,lidt om den seneste uge    ,0.0
"Copenhagen, Denmark",6675,4,"['dkmedier', 'dkpol', 'metoo']",2021-08-19 08:08:16,i en intern mail til medlemmer af  lyver  om anklagerne mod naser khader  i januar blev pape kontaktet af hayat faizi  han svarede ikke  nu påstår han at han kun havde hørt rygter  har nogen fra  spurgt til det    ,3.0
,148737,4,['dkpol'],2021-08-19 08:07:53,tak ⁦⁩ ⁦⁩ for dette program  sobert og ordentligt tilrettelagt  tilbage står vi med spinkle håb og skam   ,2.0
"Havnen, Denmark",97469,4,"['dkmedier', 'dkpol', 'metoo']",2021-08-19 08:06:59,i en intern mail til medlemmer af  lyver  om anklagerne mod naser khader  i januar blev pape kontaktet af hayat faizi  han svarede ikke  nu påstår han at han kun havde hørt rygter  har nogen fra  spurgt til det    ,3.0
Danmark,839,0,"['dkpol', 'dkgreen']",2021-08-19 08:05:20,det er  på christiansborg  som skal fastsætte klimamål  kommunerne skal blot gennemføre dem  mener professor   ellers fordyres omstillingen  siger han   ,0.0
"Hovedstaden, Danmark",2929,2,[],2021-08-19 08:05:19,    fint indlæg med mange gode pointer  betryggende  at   medlemmer satser på udviklingen af fremtidens forsyning af transportsektoren  det er nemlig vigtigt for vognmændene  at forsyning er præget af sunde markedsforhold og konkurrence  det gælder også for el og brint,4.0
,68377,7,"['dkpol', 'dkkrim']",2021-08-19 08:05:09,vi er en enige    ,1.0
"Syddanmark, Danmark",1710,2,"['dkpol', 'dkpol']",2021-08-19 08:05:00,vi bliver verdens rigeste pensionister  ja  det er der sikkert nogen  der bliver bl a  levebrødspolitikere med en god pension på skatteydernes regning       ,1.0
,29607,4,"['dkmedier', 'dkpol', 'metoo']",2021-08-19 08:04:25,i en intern mail til medlemmer af  lyver  om anklagerne mod naser khader  i januar blev pape kontaktet af hayat faizi  han svarede ikke  nu påstår han at han kun havde hørt rygter  har nogen fra  spurgt til det    ,3.0
"Ramsingsvej 30, 2500 Valby",1370,1,"['LGBTI', 'dkpol', 'WorldPride']",2021-08-19 08:04:19,alt for mange personer udsættes for hadforbrydelser – på baggrund af seksuel orientering eller kønsidentitet  dsu lancerer stop hadforbrydelserudspil          ,0.0
Copenhagen,1830,1,['dkpol'],2021-08-19 08:03:49,starter dagen i slotsholmen på p  med den gode   skal tale khader’s exit  hør med nu   ,0.0
Arzrounis Grænse,893,3,['dkpol'],2021-08-19 08:03:33,medvirkende i dagens  kl               og michael   ,0.0
